quarter,BAD,predicted_pd
0,1,0.5740520573693753
0,1,0.5986873446271245
0,1,0.5106706202930429
0,1,0.6533286717385131
0,0,0.61847062519325
0,1,0.09817374141465976
0,1,0.6120168755870976
0,1,0.10166285301235259
0,1,0.44943982766188123
0,1,0.5032889383590429
0,1,0.7111587793990334
0,1,0.5286964358600367
0,1,0.6200006659312827
0,0,0.5051195299332646
0,1,0.5619158479057809
0,1,0.3745771381382387
0,1,0.6050501622523876
0,1,0.6525468474096238
0,1,0.6120571317085871
0,0,0.161127906118091
0,1,0.5601745886274515
0,1,0.6791965573592395
0,1,0.6111869043276204
0,1,0.5845231781700614
0,1,0.6182480948849388
0,1,0.1112752330449031
0,0,0.17941165194911773
0,1,0.5175230572449331
0,1,0.4017175383123583
0,0,0.4173065070493443
0,0,0.4675335090423054
0,1,0.5073953851542174
0,1,0.4837124273460026
0,1,0.5207011776561804
0,0,0.15841425517817018
0,0,0.165363804924369
0,1,0.07641857089397436
0,1,0.029272458722237528
0,0,0.16187535538879025
0,1,0.6157225160556437
0,1,0.6084236521126399
0,1,0.6355255859036931
0,1,0.5182568967957142
0,1,0.49538693350581775
0,1,0.6146531350654905
0,1,0.5464393961694106
0,1,0.40133920742059803
0,1,0.6263071465277628
0,0,0.4787295608315139
0,0,0.4910102785397683
0,1,0.5570841471187369
0,0,0.59650361978518
0,0,0.06142143489300021
0,1,0.5604200254973729
0,1,0.06110488278324473
0,1,0.568866520911055
0,0,0.04241622802191389
0,1,0.5731479752003131
0,1,0.5892162827802097
0,1,0.08908489524660436
0,1,0.5008459660050929
0,1,0.5145350076345497
0,1,0.5817602533404042
0,1,0.6712770952459032
0,1,0.6231427524017116
0,0,0.5007178042907731
0,0,0.05287827320475858
0,0,0.1673332517542405
0,1,0.5951975601311964
0,0,0.20651247716552198
0,1,0.1681343763664807
0,1,0.36970015900144537
0,0,0.19943810901717418
0,0,0.24489345041167798
0,0,0.04563689254131516
0,1,0.17256838737513827
0,1,0.5292730901700666
0,0,0.5416616353514665
0,0,0.19803156073313438
0,1,0.5892253388820877
0,0,0.19889931522542956
0,0,0.19209397383215615
0,1,0.46865484166579574
0,1,0.07736677056809935
0,1,0.5545984285093708
0,1,0.5865086370361021
0,1,0.5089518804720129
0,1,0.5186838494383597
0,1,0.649003689608184
0,1,0.5034436687711443
0,1,0.5627489434613844
0,0,0.41822970600757103
0,0,0.6348091183654369
0,0,0.5995906486516486
0,0,0.5081077887874959
0,1,0.535912250974942
0,1,0.5511593207247067
0,0,0.06413187429538725
0,0,0.06156039021742711
0,1,0.10801666238105459
0,1,0.6030092285377108
0,0,0.2150484506540943
0,0,0.22155485033554276
0,1,0.5563206963736396
0,0,0.5653657805831687
0,0,0.6214251597273137
0,0,0.07245064032682924
0,0,0.18925539038606065
0,0,0.11357444190561998
0,0,0.08320245362694391
0,0,0.06943321881535477
0,0,0.18161901933148314
0,0,0.5767075347273795
0,1,0.09271124938248874
0,0,0.0961402121426456
0,0,0.22521159483811137
0,1,0.49461187592728956
0,0,0.08811450318558284
0,0,0.4235646850665363
0,1,0.5419476244616804
0,1,0.5565976251774317
0,1,0.5531260147266479
0,0,0.6370806478055813
0,1,0.48973283152396907
0,1,0.6226759502781437
0,0,0.10049694926263986
0,0,0.05588427553792402
0,0,0.1485414842745368
0,1,0.617313315087873
0,0,0.12280751181794629
0,1,0.5713212669701193
0,0,0.10977630505298726
0,0,0.21643349036710005
0,0,0.03738671640134797
0,0,0.20983561562471373
0,0,0.07860605853477234
0,1,0.1265558127588164
0,0,0.0774882116657633
0,1,0.6065171981558837
0,0,0.6420040049785436
0,0,0.5246395996770146
0,1,0.10723706231547249
0,0,0.18884800731247492
0,0,0.13397929341262216
0,0,0.15291140151145302
