quarter,lgd_time,predicted_lgd
0,0.3019844788,0.054514493561742206
0,0.2199158951,0.051444624655705845
0,0.2977130771,0.05578033107375674
0,0.2460111012,0.05884453975195174
0,0.1971873924,0.05712284983756026
0,0.0078576204,0.0012426763884979541
0,1e-05,0.005352447833424763
0,0.0193344072,0.07109784559820709
0,0.0079505661,-0.018151577645399843
0,1e-05,0.01095680556890892
0,1e-05,-0.005913017123346714
0,0.012390893,0.039017378387787766
0,0.0062238915,0.03690565414315006
0,1e-05,-0.007222248788105005
0,0.0015420701,0.02243920043708053
0,1e-05,0.01726572206065341
0,1e-05,0.01124519844662323
0,0.0028384962,0.010837050679769838
0,0.9971087816,-0.015874445383223457
0,0.0104342529,0.01495558595838374
0,0.0672287831,0.026151031449375056
0,1e-05,0.024952713527934656
0,0.0153391954,0.011492062585471849
0,0.99999,0.01958279086493915
0,1e-05,0.0065885225038808184
0,1e-05,-0.018539554369982295
0,1e-05,0.12445320941537594
0,0.0120648822,0.09445755255819141
0,1e-05,0.014242488490067054
0,0.0013353328,0.04477514309061996
0,0.003747669,0.03111454949978104
0,0.0079950511,0.041096874236155156
0,1e-05,0.10074542577428947
0,0.020873083,0.10559339176725302
0,1e-05,0.060758415898088655
0,0.2122231914,0.07254662361765322
0,0.0016249977,0.12521540061247757
0,1e-05,-0.014993388477498811
0,0.3094036364,0.187155206720851
0,0.0011365155,0.026479328876991337
0,1e-05,0.020964626741168668
0,0.0074568717,-0.003967133680330526
0,0.0025138654,-0.003339195702473506
0,0.0038250405,0.09845062694550755
0,1e-05,0.10494412080016002
0,1e-05,0.0873152989583913
0,1e-05,0.08883264629280094
0,0.0577209205,0.09452440038346427
0,0.1075861996,0.07852489542448993
0,0.1264493415,0.07730171244952001
0,0.0172923027,0.06336408435218356
0,1e-05,0.14256343031222918
0,1e-05,0.017633715339126152
0,0.127907037,0.11049648823953206
0,0.0256442326,0.10070232722460618
0,0.0084417627,0.19250678766816262
0,0.0228694422,0.11336980535279159
0,1e-05,0.12386822942802439
0,0.0696439885,0.15419203855993685
0,1e-05,0.05427734520960947
0,1e-05,0.059749236475747855
0,0.0225349931,0.018362682960717608
0,0.0070848316,0.018961008195015977
0,0.0230477082,0.05247355944556556
0,0.0431816003,0.0435390521633373
0,1e-05,0.10397278555758546
0,1e-05,0.01603661491490964
0,0.0122285887,0.2872470221106681
0,0.0152054654,0.09455626953097851
0,0.0225993359,0.07961824142999724
0,0.0352302428,0.1012682490684263
0,0.0385894642,0.23814137460635001
0,0.0227952075,0.24618799011126444
0,0.0160989953,0.23646884581320662
0,0.0108901967,0.0919468865136028
0,0.0102150607,0.20575994779535514
0,0.0113723559,0.09419561723275188
0,0.0188164365,0.19132667006989806
0,1e-05,0.1771858757077282
0,0.01068781,0.036829065264377
0,1e-05,0.012834165381554644
0,1e-05,0.09307186546348561
0,0.0107882207,0.0703760364686215
0,0.2411344278,0.07612845189323636
0,1e-05,0.045996071717371995
0,1e-05,0.08946265001450138
0,1e-05,0.13493252464465727
0,1e-05,0.006899279360426579
0,1e-05,0.08679234765272781
0,0.0055269935,0.059113569303266736
0,0.99999,0.08130253964909373
0,1e-05,0.02734555380974113
0,1e-05,0.018377905128188918
0,0.0345118376,0.08877345607703069
0,1e-05,0.13297534795080926
0,0.1225832978,0.27473909692623943
0,1e-05,0.1152088390295129
0,0.0338922,0.17025690085131706
0,0.021455725,0.021047163669481922
0,0.032415297,0.07638755181206701
0,0.0006541762,0.10944418726555838
0,0.0178839347,0.12418427288605824
0,0.0158495534,0.11365550405176642
0,0.0021880023,0.12169007718251007
0,0.0303268072,0.3663295677230495
0,1e-05,0.11908300753898143
0,0.4931391821,0.12619363219687604
0,0.0342206079,0.22023650673909564
0,1e-05,0.03637727467217773
0,0.4259810601,0.23393237927255525
0,0.0331746576,0.16204446588864388
0,0.1326718507,0.028903321280369917
0,0.1334999965,0.02192999218329697
0,0.0526868624,0.22392905465878563
0,0.5517827169,0.1632350203594019
0,0.0077214031,0.13483303551724374
0,1e-05,0.04250867229886286
0,1e-05,0.0760405629566701
0,1e-05,0.2621311157806483
0,1e-05,0.11816114798406877
0,0.2632267972,0.19747879457815784
0,0.0174930279,0.4513531601480828
0,0.1218626615,0.2471278219749594
0,0.092311511,0.12301515848180714
0,0.0007169805,0.29955876000932014
0,1e-05,0.30229248061575686
0,0.1209535464,0.1024200120711024
0,0.0610212299,0.15041316433978624
0,0.009484764,0.0069300158228266795
0,0.6013633589,0.1094746954198032
0,0.0247678398,0.16209816458537377
0,0.0200235149,0.16394307591456997
0,1e-05,0.15498835543517536
0,0.0348294904,-0.022387530601343034
0,0.0255283483,0.06745086321199709
0,0.0057119512,0.13534275802098186
0,1e-05,0.03750129832263942
0,0.0028659362,0.06152163457655835
0,0.5390452162,0.13438893947332545
0,0.0214477413,0.1415567084082562
0,0.0418532509,0.12737350533358857
0,1e-05,0.2132772072494923
0,0.0173925546,0.23155253238702175
0,1e-05,0.003121048353615638
0,0.0884554058,0.09922189887634306
0,0.9722230187,0.08887414421228237
0,0.0491409655,0.19594520102584864
0,0.0169613561,0.013119736759851598
0,1e-05,-0.01022974925503297
0,1e-05,0.08071523234318304
0,0.5361890044,0.12560552988157747
0,0.1911075153,-0.0009124866431339668
0,1e-05,0.1205433572161616
0,1e-05,0.0331530451371774
0,0.4927179924,0.2137774300620948
0,0.2320398255,0.3513873648054935
0,0.0016322362,0.1222161773758155
0,0.1605161683,0.16232182966087322
0,0.1935269696,0.12948197406556156
0,1e-05,0.20570317793207274
0,0.0534916884,0.28780559006893447
0,0.2336734638,0.087750309249808
